seed,arm,base_LA,base_LB,final_LA,final_LB,deltaL,edge50,deltaEdge50,common25,contrast,legal,accepted,yield
0,full,13,15,21,16,7,16,27,31,0.20358070107944992,11,4,0.6111111111111112
1,full,12,13,20,14,7,33,46,34,0.30596571827559615,15,7,0.8333333333333334
2,full,13,13,17,15,2,-7,0,-18,0.3156786023551239,10,2,0.5555555555555556
3,full,11,18,11,30,-12,-103,-37,-107,0.0,11,3,0.6111111111111112
4,full,13,11,13,11,0,12,1,11,0.48955225039172634,15,1,0.8333333333333334
5,full,14,14,14,14,0,9,0,4,0.4864888981527246,16,2,0.8888888888888888
6,full,14,14,14,14,0,19,-5,5,0.470923068855681,15,2,0.8333333333333334
7,full,17,12,16,12,-1,39,11,18,0.2821278319045003,16,2,0.8888888888888888
8,full,12,13,12,12,1,-19,6,-3,-0.17778530236327147,11,1,0.6111111111111112
9,full,11,13,11,13,0,-11,0,-13,-0.1192758950767628,15,0,0.8333333333333334
10,full,14,12,18,12,4,17,17,40,0.37240013947843187,16,3,0.8888888888888888
11,full,13,13,21,15,6,26,24,32,0.46199079730482406,15,5,0.8333333333333334
12,full,11,12,15,12,4,27,12,24,0.4296597081760404,12,3,0.6666666666666666
13,full,16,10,16,12,-2,27,-10,26,0.455788010688798,18,1,1.0
14,full,13,15,15,15,2,0,11,-2,0.005860836705417294,14,4,0.7777777777777778
15,full,11,11,11,11,0,1,8,6,0.19550714782295178,9,5,0.5
0,no_ephaptic,13,15,13,23,-8,-52,-41,-53,-0.034528788536940164,8,1,0.4444444444444444
1,no_ephaptic,12,13,12,17,-4,-25,-12,-25,0.09464093200137065,8,6,0.4444444444444444
2,no_ephaptic,13,13,17,13,4,25,32,16,0.19322428082618656,8,1,0.4444444444444444
3,no_ephaptic,11,18,11,28,-10,-92,-26,-97,0.0,13,2,0.7222222222222222
4,no_ephaptic,13,11,15,11,2,21,10,22,0.4911640602593885,8,1,0.4444444444444444
5,no_ephaptic,14,14,14,14,0,16,7,6,0.4409968926183612,12,3,0.6666666666666666
6,no_ephaptic,14,14,16,16,0,32,8,7,0.3341487918598399,9,2,0.5
7,no_ephaptic,17,12,19,12,2,38,10,38,0.4380485135459224,12,4,0.6666666666666666
8,no_ephaptic,12,13,20,12,9,39,64,45,0.3878750440580992,12,4,0.6666666666666666
9,no_ephaptic,11,13,11,13,0,-7,4,-11,0.06043978186606191,11,1,0.6111111111111112
10,no_ephaptic,14,12,18,12,4,30,30,38,0.3249302475483802,10,2,0.5555555555555556
11,no_ephaptic,13,13,21,15,6,23,21,32,0.44183215271030307,7,2,0.3888888888888889
12,no_ephaptic,11,12,10,12,-1,9,-6,2,0.37265372876941205,10,1,0.5555555555555556
13,no_ephaptic,16,10,16,10,0,37,0,37,0.34094870438362035,11,0,0.6111111111111112
14,no_ephaptic,13,15,19,15,6,31,42,16,0.2997466415736778,9,4,0.5
15,no_ephaptic,11,11,11,15,-4,-27,-20,-17,0.045198993978093654,12,4,0.6666666666666666
0,magnitude_only,13,15,21,14,9,23,34,37,0.36741741942205486,9,4,0.5
1,magnitude_only,12,13,12,19,-6,-40,-27,-41,0.15213936142176543,13,5,0.7222222222222222
2,magnitude_only,13,13,23,13,10,35,42,54,0.5724358173311016,9,2,0.5
3,magnitude_only,11,18,11,30,-12,-105,-39,-110,0.0,12,3,0.6666666666666666
4,magnitude_only,13,11,15,11,2,21,10,22,0.49175469658167803,8,2,0.4444444444444444
5,magnitude_only,14,14,18,14,4,22,13,25,0.30640238589920404,12,2,0.6666666666666666
6,magnitude_only,14,14,18,16,2,14,-10,12,0.44082261132039086,13,4,0.7222222222222222
7,magnitude_only,17,12,21,12,4,50,22,47,0.5657363099067708,14,5,0.7777777777777778
8,magnitude_only,12,13,26,15,12,35,60,57,0.43628940579717085,12,5,0.6666666666666666
9,magnitude_only,11,13,19,13,8,28,39,34,0.3325605779532449,14,2,0.7777777777777778
10,magnitude_only,14,12,18,12,4,19,19,40,0.34218709235907757,13,4,0.7222222222222222
11,magnitude_only,13,13,21,13,8,35,33,43,0.36688699574035694,13,3,0.7222222222222222
12,magnitude_only,11,12,10,12,-1,9,-6,2,0.37265372876941205,11,1,0.6111111111111112
13,magnitude_only,16,10,18,16,-4,13,-24,13,0.52061435376219,13,3,0.7222222222222222
14,magnitude_only,13,15,13,31,-16,-106,-95,-106,-5.62430481983377e-06,8,3,0.4444444444444444
15,magnitude_only,11,11,11,11,0,10,17,6,0.08293447237491706,10,3,0.5555555555555556
0,phase_shuffle,13,15,17,14,5,25,36,35,0.3166809797181833,12,3,0.6666666666666666
1,phase_shuffle,12,13,18,14,5,54,67,27,0.343619299265984,14,8,0.7777777777777778
