seed,arm,mass,pre_dL,post_dL,edge50,common25,contrast,extensions,reconnections,reconnect_rate,mean_field_power
0,coherent,70,-2,-1,-12,-7,-0.026089778556172,23,14,0.6086956521739131,8.227580479866801e-05
0,phase_scramble,70,-2,-2,-25,-11,-0.04723433010735216,19,14,0.7368421052631579,8.076081391708258e-05
0,phase_reverse,70,-2,-2,-7,-7,-0.2485532018104394,16,8,0.5,8.071818364088459e-05
0,magnitude_only,70,-2,-2,-19,-15,-0.38458752248472317,15,11,0.7333333333333333,8.126634629472089e-05
0,no_field,70,-2,-2,-23,-19,-0.5034067313992554,24,12,0.5,7.856168843526727e-05
0,no_credit,70,-2,0,-10,-6,-0.33167248080683287,20,11,0.55,8.254026192686424e-05
1,coherent,70,-1,0,-6,-4,-0.18773211031350218,15,11,0.7333333333333333,8.579658420318183e-05
1,phase_scramble,70,-1,-1,15,-7,0.18578617106621265,17,8,0.47058823529411764,8.587162422833849e-05
1,phase_reverse,70,-1,-1,-4,-2,0.08399320767318665,19,8,0.42105263157894735,8.569053140819151e-05
1,magnitude_only,70,-1,-1,-5,-4,0.10643522863767738,21,12,0.5714285714285714,8.657792546608157e-05
1,no_field,70,-1,-1,-8,-8,-0.527397177213959,20,9,0.45,8.564486358390393e-05
1,no_credit,70,-1,0,-7,-9,-0.35707491264531666,14,9,0.6428571428571429,8.632337873848428e-05
2,coherent,70,0,1,29,8,0.24879430669906083,19,6,0.3157894736842105,8.249415245684431e-05
2,phase_scramble,70,0,0,-4,-2,-0.02169188235817353,24,6,0.25,8.304023454444278e-05
2,phase_reverse,70,0,0,14,0,0.029784256163572238,16,9,0.5625,8.70307087789494e-05
2,magnitude_only,70,0,3,35,27,0.18094599759027116,20,4,0.2,8.409847210957524e-05
2,no_field,70,0,0,-1,-4,0.23742833502522706,20,7,0.35,8.406776809740298e-05
2,no_credit,70,0,4,20,12,0.3073293988882994,24,8,0.3333333333333333,8.427756098446555e-05
3,coherent,70,-7,-1,-4,-1,0.2273210741879684,19,8,0.42105263157894735,8.495405343467155e-05
3,phase_scramble,70,-7,-1,-7,-3,-0.27712034449141426,24,6,0.25,8.18466098435364e-05
3,phase_reverse,70,-7,-1,-6,-3,-0.09464137004545808,20,13,0.65,8.334185779309185e-05
3,magnitude_only,70,-7,-1,-8,-6,-0.20621875229852105,24,10,0.4166666666666667,8.287806862325751e-05
3,no_field,70,-7,-1,-9,-3,-0.1121874685210003,24,9,0.375,8.34417884302891e-05
3,no_credit,70,-7,-7,-38,-36,-0.09890504661362583,14,6,0.42857142857142855,8.143866643529741e-05
4,coherent,70,2,1,7,6,0.2773045918434764,24,11,0.4583333333333333,8.190953310815985e-05
4,phase_scramble,70,2,0,3,-2,-0.16263517625829893,24,10,0.4166666666666667,8.14739388085665e-05
4,phase_reverse,70,2,1,7,5,0.04279196266325008,19,12,0.631578947368421,8.730417798988001e-05
4,magnitude_only,70,2,1,0,2,-0.11473295134723226,22,11,0.5,8.769615408097151e-05
4,no_field,70,2,1,0,2,-0.11473295134723226,22,11,0.5,8.766191015436359e-05
4,no_credit,70,2,1,4,1,-0.18671834355864766,24,7,0.2916666666666667,8.521106126124778e-05
5,coherent,70,0,0,2,3,0.39187139530796034,16,10,0.625,8.305561670596262e-05
5,phase_scramble,70,0,0,2,3,0.3918717432863703,16,10,0.625,8.304904662676588e-05
5,phase_reverse,70,0,-6,-19,-32,-0.5024912084399935,20,16,0.8,8.431576315122886e-05
5,magnitude_only,70,0,1,5,6,-0.08353800294542932,20,11,0.55,8.501583267338396e-05
